ache/ake – ached/oke – ached/aken,""
"take – took/*taked – taken

betake – betook/*betaked – betaken
intake – intook/*intaked – intaken
mistake – mistook/*mistaked – mistaken
overtake – overtook/*overtaked – overtaken
partake – partook/*partaked – partaken
retake – retook/*retaked – retaken
undertake – undertook/*undertaked – undertaken
*uptake – uptook/*uptaked – uptaken
*withtake – withtook – withtaken

","Strong, class 6"
teach – taught/*teached – taught/*teached,Weak with Rückumlaut and Germanic spirant law
"tear – tore – torn

uptear – uptore – uptorn

","Strong, class 4"
"*tee – teed/tow – teed/town

betee – beteed/betow – beteed/betown
fortee – forteed/fortow – forteed/fortown

",""
"tell – told/*telled – told/*telled

foretell – foretold/*foretelled – foretold/*foretelled
forthtell – forthtold – forthtold
mistell – mistold – mistold
*outtell – outtold/*outtelled – outtold/*outtelled
retell – retold/*retelled – retold/*retelled

",Weak with Rückumlaut; related to tale
"think – thought/*thinked – thought/*thinked

outthink – outthought/*outthinked – outthought/*outthinked
rethink – rethought/*rethinked – rethought/*rethinked

",Weak with Rückumlaut and Germanic spirant law
thrive – throve/thrived/*thrave – thriven/thrived,Of Old Norse origin; followed strong class 1 (now archaic) or weak (regular) pattern[7]
"throw – threw/*throwed – thrown/*throwed

misthrow – misthrew/*misthrowed – misthrown/*misthrowed
outthrow – outthrew/*outthrowed – outthrown/*outthrowed
overthrow – overthrew/*overthrowed – overthrown/*overthrowed
underthrow – underthrew/*underthrowed – underthrown/*underthrowed
upthrow – upthrew/*upthrowed – upthrown/*upthrowed

","Strong, class 7"
"thrust – thrust/*thrusted – thrust/*thrusted

outthrust – outthrust/*outthrusted – outthrust/*outthrusted

","Weak, with coalescence of dentals (or regular)"
"tread – trod/*tread/*treaded/*trodden – trodden/trod/*tread/*treaded

retread – retrod/*retread/*retreaded/*retrodden – retrodden/retrod/*retread/*retreaded

","Strong, class 5 (or regularized)"
vex – vexed/*vext – vexed/*vext,""
"wake – woke/*waked – woken/*waked

awake – awoke/*awaked – awoken/*awaked

","Strong, class 6"
wax – waxed/*wex – waxed/*waxen,"Strong, class 7, now regularized"
"wear – weared/wore – weared/worn

*forwear – forweared/forwore – forweared/forworn
outwear – outweared/outwore – outweared/outworn
overwear – overweared/overwore – overweared/overworn

","Originally weak, fell into a strong pattern by analogy with bear"
"weave – wove – woven

interweave – interwove – interwoven
*unweave – unwove – unwoven

","Strong, class 7"
"wed – wed/wedded – wed/wedded

miswed – miswed/miswedded – miswed/miswedded
rewed – rewed/rewedded – rewed/rewedded

",Weak with coalescence of dentals (or regular)
"weep – wept/weeped – wept/weeped

*beweep – bewept/beweeped – bewept/beweeped

","Originally strong, class 7, now weak with vowel shortening"
wend – wended/*went – wended/*went,"Weak, once with coalescence of dentals and devoiced ending, but now regular; went is used as the past of go"
"wet – wet/wetted – wet/wetted

overwet – overwet/overwetted – overwet/overwetted

",Weak with coalescence of dentals (or regular)
will – would – (none),"Preterite-present, defective. See English modal verbs, and shall and will. (In non-auxiliary uses the verb is regular.)"
win – won – won,"Strong, class 3"
"wind – wound – wound

rewind – rewound – rewound
unwind – unwound – unwound

","Strong, class 3. (The identically spelt verb wind /wɪnd/, with meanings connected with air flow and breathlessness, is regular.)"
"work – worked/*wrought – worked/*wrought

overwork – overworked/*overwrought – overworked/*overwrought

","Weak, now regular, formerly with Rückumlaut and metathesis of r and o"
*worth – worth/worthed – worth/worthed/worthen,"Strong, class 3, or regularized"
wreak – wreaked/*wrought/*wrack/*wroke – wreaked/*wrought/*wreaken/*wroken,"Weak, usually regular; wrought (which is in fact from work) has come sometimes to be identified with this verb (perhaps by analogy with seek–sought). Other forms by analogy with strong verbs."
wring – wrang/wrung/*wringed – wrung/*wringed,"Strong, class 3"
"write – wrote/*writ – written/*writ

cowrite – cowrote/*writ – cowritten
ghostwrite – ghostwrote/*ghostwrit – ghostwritten/*ghostwrit
handwrite – handwrote/*handwrit – handwritten/*handwrit
miswrite – miswrote/*miswrit – miswritten/*miswrit
overwrite – overwrote/*overwrit – overwritten/*overwrit
rewrite – rewrote/*rewrit – rewritten/*rewrit
underwrite – underwrote/*underwrit – underwritten/*underwrit

","Strong, class 1"
writhe – writhed/*wrothe – writhed/*writhen,"Strong, class 1, now regularized"
zinc – zinced/zinked/zincked – zinced/zinked/zincked,""
